REGISTERED TOURISM FACILITIES  DATABASE AS AT SEPTEMBER 2022 ,,,,,,,,,,
CODE,PROVINCE,AREA,NAME OF FACILITY,ADDRESS,EMAIL,TELEPHONE,GRADE,EMPL,CAP,ROOMS
RST 0696,Midlands ,Zvishavane,Ok Zvishavane ,D B Lake - Remainder of Hotel Site Shabani.Box 3081 7 Ramon Rd Graniteside Harare.,"vchamunorwa@okzim.co.zw,eshoniwa@okzim.co.zw",0712 880 140,,12,20,
RST 0697,Mash West,Chegutu,Chicken Inn Chegutu,Stand No 175 Queen Street Chegutu. C/O 35 b Robert Mugabe Way Gweru.,,"0242 776461,776526, 0772 428 381,775305/6",,21,40,
RST 0700,Midlands ,Gweru,Chicken Inn Ashes Gweru,Hardwhite - Shop 4 and 5 Ash Building Lobengula Street Gweru.,,"0242 776461,776526, 0772 428 381,775305/6",,16,40,
RST 0701,Bulawayo,Bulawayo,Hills of Judea Restaurant,S Shenjun - 31 Pauling Road Suburbs Bulawayo,kuzcad@gmail.com,0772 900 514,Standard,14,,
RST 0703,Masvingo,Chiredzi,Chicken Inn Chiredzi,Assyria Enterprises - 359 Mupani Road Chiredzi,,0242 780724/7,,18,20,
RST 0706,Harare,Harare,Food Lovers Market- Sam Levy Village,"R N Wetzlar & P C Morrisby - Stand No 592 Borrowdale Estate Sam Levi,s Village Harare.",admin3@fvc.co.zw,061 2876/ 3504/ 2393,Standard,,48,
RST 0708,Harare,Harare,KFC  Westgate Crispy Chicken Restaurant Pvt Ltd ,Ritchie G Gillam - Total Service Station 251 Livingstone Way Victoria Falls,chubby@kfczimbabwe.co.zw,0242  487285/7,Standard,30,20,
RST 0713,Mat North,Victoria Falls,The Three Monkey Restaurant,I Wiesenbacher  - Cnr Stanley Livingstone & Adam Stander Drive Victoria Falls ,res@3monkeys.co.zw,083 28 47326,Comfort ,46,120,
RST 0715,Harare,Harare,The Village Greek ,D N Erasmus - Shop No 3 New Block  Sam Levys Village Borrowdale Harare.,tvg@zol.co.zw,054-225680,Comfort,,30,
RST 0716,Harare,Harare,Chop Chop Grill House and Coffee Shop ,Temesai Chimsoro  & Jackson Dror - 256 Herbert Chitepo Avenue Harare.,chopchop1@chopchop-group.com,0775 400 951,Comfort,65,200,
RST 0717,Harare,Harare,Kuanglu Restaurant,Guifen Gong & Zilan Jing - 24 Crowhill Borrowdale Harare.,xiayingmao1025@163.com,0774 119 387,,8,,
RST 0721,Harare,Harare,Café Nush Village Walk,Abed Khalatbari - No 20 Village Walk Shopping Centre Borrowdale Harare.,cafenush@yahoo.com,08677172548,Comfort,23,60,
RST 0722,Bulawayo,Bulawayo,KFC Bulawayo  Crispy Chicken Restaurant Pvt Ltd ,Ritchie G Gillam - Stand No 19013 Bradfield Shopping Centre Bulawayo.,chubby@kfczimbabwe.co.zw,0242  487285/7,Standard,48,20,
RST 0727,Harare,Harare,Chicken Inn – Greencroft,111 Lomagundi Road Greencroft Harare,,"0242 776461,776526, 0772 428 381,775305/6",,17,,
RST 0728,Harare,Harare,Chicken Inn – Harare Street,23A Robert Mugabe Way Harare,,"0242 776461,776526, 0772 428 381,775305/6",,17,,
RST 0729,Harare,Harare,Chicken Inn – Marimba ,Cnr Samora Machel Avenue and West Shop Harare,,"0242 776461,776526, 0772 428 381,775305/6",,17,,
RST 0730,Harare,Harare,Chicken Inn –  Drive Thru Avondale,54 King George Avenue Harare,,"0242 776461,776526, 0772 428 381,775305/6",,17,,
RST 0730,Harare,Harare,Chicken Inn – Marimba ,Cnr Samora Machel Avenue and West Shop Harare,,"0242 776461,776526, 0772 428 381,775305/6",,17,,
RST 0731,Mash Central,Bindura ,Chicken Inn – Bindura ,No 5 Main Street Bindura ,,"0242 776461,776526, 0772 428 381,775305/6",,13,,
RST 0732,Masvingo,Masvingo,Chicken Inn – Zuva Masvingo,51 Hughes Street Masvingo,,"0242 776461,776526, 0772 428 381,775305/6",,17,,
RST 0733,Masvingo,Masvingo,Chicken Inn –Exxor  Masvingo,10536  Beitbridge Rd Masvingo,,04 796609/10,,19,,
RST 0734,Harare,Harare,Chicken Inn – Borrowdale,Village Wal Shopping Centre Borrowdale Harare,,"0242 776461,776526, 0772 428 381,775305/6",,,,
RST 0735,Harare,Harare,TAJ Restaurant,Neeraj Arora &Micah Moyo - 157 Borrowdale Road  Harare.,miccah.moyo@gmail.com,0771 743 473,,14,50,
RST 0737,Harare,Harare,Pariah State Avondale ,M W Austen - Shop No 7 Riverside Walk Avondale  Harare.,accounts@pariahstate.co.zw,0772 804 705,,12,200,
RST 0738,Harare,Harare,Pariah State  Harare Drive,M W Austen - 317 Harare Drive Pomona Harare,accounts@pariahstate.co.zw,"0772 522 522,0772 808 299,08677103644",,6,45,
RST 0739,Harare,Harare,Roco Mamas ,Simbisa - No 2 Village Walk Shopping Mall Pomona Harare,sydney.dengu@innscofastfoods.com,013 42259,Standard,44,,
RST 0744,Bulawayo,Bulawayo,Earth Café,Jacqueline Rhodes - 8 Oak Avenue / Cnr 12th Avenue Bulawayo,oneearthcafe@gmail.com,"09 2230963,0777 645 044",Standard,5,42,
RST 0758,Harare,Harare,The Rose Café,"Muchero & Tsitsi Nyazema- 72 Golden Stairs Road, Mt Pleasant, Harare",ringatainvestments@gmail.com,0777606542,,6,,
RST 0764,Midlands ,Mvuma,Chicken Slice Masvingo,"Stand 580,Harare,Masvingo Highway,Mvuma",fungai@slice.co.zw,"04 571919,0772 975 808",,,,
RST 0765,Masvingo,Masvingo,Pizza  Slice Masvingo ,Crn R Mugabe /J Tongogara Masvingo ,fungai@slice.co.zw,571 919/15,,,,
RST 0771,Harare,Harare,Chicken Chisipite,Simbisa Holdings - No 7 Benard Road Chisipite Harare,,0787 295 196,,,,
RST 0772,Harare,Harare,Haefilis Chisipite,Simbisa Holdings - No 7 Bernard Road Chisipite Harare,,263 242 781 089,,,,
RST 0773,Harare,Harare,Cultures Resort Restaurant,J K Gachuhi - 19595 STL Corner Chiremba /Southly Road Hillside Harare,culturesresortzimbabwe@gmail.com,0772 951 308,,8,30,
RST 0778,Harare,Harare,Greenwood Park Restaurant,S Mambondiyani - Cnr 7th Street & Herbert Chitepo Avenue Harare,info@greenwoodpark.co.zw,"0784 564 584,0777 760 895",,20,40,
RST 0779,Harare,Harare,Chop Chop Restaurant Angwa & Nelson Mandela ,Temesai Chimsoro  & Jackson Dror - 42 Nelson Mandela Avenue Harare,chopchop1@chopchop-group.com,0775 400 951,Luxury,30,80,
RST 0780,Harare,Harare,Panda Restaurant,Jian Xu - 5946 3 Durban Road Avondale Harare,xj17505@gmail.com,0774 121 638,,13,86,
RST 0787,Harare,Harare,Afrofusion Restaurant,Loveness Chibikira - 42 Livingstone Road Harare,ichibikira@gmail.com,0772 403 478,Standard,16,60,
RST 0788,Harare,Harare,Chicken Village ,F Makumbe - Shop 3 Cnr Robert Mugabe and 2nd Street Harare,fastfarayi98@gmail.com,"0242 852286-8 ,0784 291 719",Standard,6,,
RST 0789,Harare,Harare,Chics Restaurant,LCBL Sisters -  42 Livingstone Avenue Harare,marzinyoka@gmail.com,0772 737 417,Standard,3,40,
RST 0790,Harare,Harare,Spar Express Braeside Service Station,Dorren Lanca - No 1 Horatio Drive Braeside Harare,losscontrol2@spar.co.zw,0773 500 344,,,40,
RST 0796,Harare,Harare,Slice Grill -  Avondale,Tawanda Mutyebere - Stand 78 Avondale Post Office King George Road Harare,fungai@slice.co.zw,04 870677/8/ 0772206924,,27,76,
RST 0797,Harare,Harare,Pizza Slice  -  Avondale,Tawanda Mutyebere - Stand 78 Avondale Post Office King George Road Harare,fungai@slice.co.zw,09 78841-5,,21,76,
RST 0798,Harare,Harare,Chicken Hot Spot Pvt Ltd ,Lennon Tswano - 12 Ottawa House Cnr Angwa & R Manyika Harare,leetswa@yahoo.com,0776 469 199 / 0774 768 603,Standard,60,50,
RST 0799,Mat North,Victoria Falls,Dusty Road,Sarah Anne Lilford - 1195 Chinotimba Township Vic Falls ,info@dustyroad.africa,832844607,,6,,
RST 0800,Midlands ,Kwekwe,Chicken Inn Kwekwe,"Simbisa Holdings  - 2515 Industrial Park Rd, Kwekwe",masimba.chifamba@simbisa.co.zw,"0242 776461,776526, 0772 428 381,775305/6",,31,45,
RST 0801,Mash West,Kadoma,Chicken Inn Kadoma ,"Simbisa Holdings  - 2515 Industrial Park Rd, Kwekwe",masimba.chifamba@simbisa.co.zw,0773 452 653/0242 780721/9,,45,50,
RST 0806,Harare,Harare,Bolero Tapas Bar,Makhi Maphosa - Shop 6 Newlands  Shopping Centrre,johnmaphosa2@gmail.com,013-44344/44713,,6,40,
RST 0808,Harare,Harare,Nandos Sam Levy,"Pachawo Chipurura - 2A Kerward Ave, Meyrick Park, Harare",liberty.muzavazi@simbisa.co.zw,799 609,,17,100,
RST 0809,Harare,Harare,Haefelis Sam Levy,"Pachawo Chipurura - 2A Kerward Ave, Meyrick Park, Harare",,09 64791/78471-2,,27,30,
RST 0812,Midlands ,Kwekwe,Spar Restaurant Kwekwe,L Darren 2524 Robert Mugabe Way Kwekwe ,darrenlanca@spar.co.zw,077 328 0243,,13,35,
RST 0821,Midlands ,Shurugwi ,Chicken Inn - Shurugwi,Assyria Investments  -35 B Robert Way Gweru,,"0242 776461,776526, 0772 428 381,775305/6",,6,,
RST 0823,Harare,Harare,Athienitis Spar Restaurant Harare,Darren Lanca - Mirose Court Cnr 5th & Five Avenue Harare,losscontrol2@spar.co.zw,0774 138 605,,,50,
RST 0835,Harare,Harare,The Q Bar Restaurant,Lance Guy Nettleton & Sam Mubayiwa - Cnr Fife Avenue & Leopold Takawira HRE,lance@mweb.co zw,886400,,25,200,
RST 0836,Mat North,Victoria Falls ,House Of Zulu ,Brian Zulu- Airport Road Monde Victoria Falls,info@houseofzulu.co.zw,0735 167 321,,6,20,
RST 0837,Harare,Harare,Chicken Slice Drive Through Avondale ,T Mutyebere - 32 Cork Road Avondale Harare,elzabeth@slice.co.zw,0773551683,Comfort,21,40,
RST 0840,Harare,Harare,Mac Flavour Robson Manyika,Pio Rutsito  - Robson Manyika Harare,chickenflavour18@gmail.com,0774 465 205,Standard,,,
RST 0843,Bulawayo,Bulawayo,Chicken Inn Drive Through,"Hard White Trading - 13870 BT Street ZITF Grounds , Box 1001 Bulawayo",freddy.muchetu@simbisa.co.zw,0242 - 799609,,,,
RST 0845,Harare,Harare,Cafenion Restaurant ,Irene /Miltiades Constantine Verghis - 51 Quorn Avenue Mt Pleasant Harare,cafenion@outlook.com,09- 24354,,15,80,
RST 0846,Mash West,Karoi,Chicken Inn Karoi,Sambisa Holdigs - Stand No 11 & 12 Roseway Karoi ,,0772 403 478,,,,
RST 0850,Harare,Harare,Chai Café,Mohamed Nooria - 41 Churchill Avenue Harare,chaicafezim@gmail.com,0772 817 895,Standard,3,20,
RST 0851,Harare,Harare,Aroma Café,Walter Picci - 167 Enterprise Road Harare,aromacaffe5@gmail.com,0772235693,Standard,12,40,
RST 0852,Harare,Harare,Madina Restaurant,Abdul-Aziz Ahmed Ali - 4 Rowland Square Milron Park Harare,madinarestaurantzw@gmail.com,04-885473/ 0772 245953,,14,100,
RST 0853,Midlands ,Zvishavane,Ok Karoi,D B Lake - Stand No 52A Karoi Township Karoi,"vchamunorwa@okzim.co.zw,eshoniwa@okzim.co.zw",0242 757 311/9,,12,20,
RST 0854,Mash West,Karoi,Chicken Inn - Karoi,Simbisa Holdings - 117 Industry Road Karoi,ngumede@innscorbyo.co.zw,"0242 776461,776526, 0772 428 381,775305/6",,,,
RST 0855,Bulawayo,Bulawayo,Simply Delicious ,Leigh-Anne Nesbitt - Whitestar Farm Whitestone Way Burnside Bulawayo,simplydelicious.byo@gmail.com,0786 838 350,,9,50,
RST 0856,Midlands ,Gweru,LesVigo Restaurant,Sydney Pandhla - 8452 Megawatt Complex Bulawayo Road Gweru,infolesvigo@gmail.com,"062-2433/4,0772 227 069",,10,,
RST 0857,Bulawayo,Bulawayo,The Smoke House,Marin Pieter - 54 Fairbridge Way Cnr Cecil Avenue Hillside Bulawayo,accounts2@thesmokehouse.co.zw,0785 871 510,,42,150,
RST 0858,Bulawayo,Bulawayo,Ok Mart Bulawayo,Ok Zimbabwe - Stand No 13853 No 2 Josiah Chinamano Bulawayo,,"04 335312, 0773 446 326",Standard,12,30,
RST 0859,Harare,Harare,Chicken Mash Mbare South,Tendai & Tapiwa Mashamhanda - 29615 Mbare Road Mbare Harare,betavalery@gmail.com/ accounts@mh.co.zw,0774 166 603,,13,48,
RST 0860,Harare,Harare,Chicken Mash Highglen,Tendai & Tapiwa Mashamhanda -Highglen Shopping Centre Cnr Willowvale /Highglen Road harare,betavalery@gmail.com/ accounts@mh.co.zw,0774 166 603,,13,80,
RST 0861,Mat North,Victoria Falls ,Nandos Victoria Falls ,Simbisa Brands - Shop 14 & 15 Sawanga Mall 18 Chinotimba Victoria Falls ,thobekile.ndlovu@simbisa.co.zw,"09 230 206,281 485",Standard,35,60,
RST 0862,Harare,Harare,Pizza Inn Robson Manyika,Simbisa Brands - 61 Robson Manyika Avenue Harare,,0732 801 801,,10,80,
RST 0863,Harare,Harare,Chicken Inn Robson Manyika ,Simbisa Brands - 61 Robson Manyika Avenue Harare,,"0774 441 350,0773 127 945",,21,16,
RST 0864,Harare,Harare,Chop Chop Zindoga ,Dror Jackson - 7 Midlands Township Godfrey Road Waterfalls ,dror@arplaninvestments.com,0775 400 951,,60,60,
RST 0865,Mash West,Chinhoyi,Eat n Lick Chinhoyi,I Musabayana - 2 Short Street Chinhoyi,liberty@eatnlick.co.zw,013 42029/ 0712 212 580,Standard,,40,
RST 0866,Harare,Harare,Jam Tree,Ilan Wiesenbacher - 40 Bargate Road Vainona Harare ,fnb@thesmokehouse.co.zw,"0777 647 965, 242 884352",,62,,
RST 0867,Harare,Harare,CocoMia Restaurant,Simbisa Holdings - Shop 18 Sam Levy's Village Harare,,0775 292 128,,6,100,
RST 0868,Harare,Harare,Bufallo Creek Spur,"Simbisa Holdings - Shop 1,2,3, Entertainment Centre Sam Levy Village Borrowdale Harare",,033-6361/ 6362 / 6783,,16,300,
RST 0868,Harare,Harare,Spurs,"Simbisa Holdings - Shop 1,2,&3 Entertainment Centre Sam Levy Village Harare",,0777516171,,16,300,
RST 0869,Harare,Harare,Grab and Go Restaurant,Simbisa Holdings - 54A Pomona Borrowdale Road Harare,,0772 900 514,,9,21,
RST 0870,Harare,Harare,Chicken Village Mabelreign,F Makumbe - Shop 394 Storyfort Road Mabelreign Harare,finance@chickenvillage.co.zw,0773 127 945,Standard,20,40,
RST 0871,Harare,Harare,You Real Restaurant,Wang Li - 13/14 Sam Levy Village Borrowdale Harare,fatimahwangli@hotmail.com,0782 378 965,,8,,
RST 0872,Harare,Harare,Chicken Village Machipisa,F Makumbe - Shop 990 Cnr Jababvu/ Highfield Road Harare,finance@chickenvillage.co.zw,0772 0772 602288,Standard,20,30,
RST 0873,Harare,Harare,Lugar De Pollo,B Nyaumwe - St Andrews Arcade Chisipite Harare,lugardepollo@gmail.com,0785 220 175,,25,65,
RST 0874,Harare,Harare,Yanaya Lifestyle,Nyaradzo Moyo - 2nd Floor Joina City Center Harare,nyaradzo.moyo@yanaya.co.zw,04 776239,,8,44,
RST 0875,Mat North,Victoria Falls ,Chicken Hut Victoria Falls ,Chad Chahwanda - 6658A Sawanga Mall Victoria Falls ,rita@sizechunkres.com,0772 356 994,,10,30,
RST 0876,Harare,Harare,Food Box Eastgate Market,Guide Nangai  - Kitchen 04 New EaShop No 12 Karigamombe Centre 53 Samora Machel Avenue Harare.,sales@foodbox.co.zw,0772 352 422,,5,20,
RST 0877,Harare,Harare,Chicken Hot Spot Pvt Ltd ,Rumbidza Nhari - 139 Samora Machel Avenue Harare,operations.hotspot@gmailcom,0772 356 994,,11,100,
RST 0878,Harare,Chitungwiza ,Chicken Mash - Makoni,Tendai & Tapiwa Mashamhanda - 16110 Makoni Chitungwiza,betavalery@gmail.com/ accounts@mh.co.zw,0772 423 154,,23,44,
RST 0878,Harare,Chitungwiza ,Chicken Mash - Makoni,Tendai & Tapiwa Mashamhanda - 16110 Makoni Chitungwiza,betavalery@gmail.com/ accounts@mh.co.zw,0776 467 199 /0774 168 603,,23,44,
RST 0879,Harare,Chitungwiza ,Chicken Mash - Chigovanyika ,Tendai Mashamhanda - 10606 Chigovanyika St Mary's  Chitungwiza ,betavalery@gmail.com/ accounts@mh.co.zw,0776 467 199 /0774 168 603,,23,124,
RST 0879,Harare,Chitungwiza ,Chicken Mash - Chigovanyika ,Tendai Mashamhanda - 10606 Chigovanyika St Mary's  Chitungwiza ,betavalery@gmail.com/ accounts@mh.co.zw,0776 469 199 / 0774 768 603,,23,124,
RST 0880,Harare,Harare,Cafe De Paris,Marc Banville - 47 Churchill Avenue Alexander Park  Harare,skyden123@icloud.com,0773 805 277,,,30,
RST 0881,Harare,Harare,Azzurri,Iain Grandhomme - 197 Enterprises Road Chisipite Harare,tensidezim@gmail.com,04- 882715,,12,120,
RST 0883,Harare,Chiungwiza ,Pizza Mash Makoni,Tendai & Tapiwa Mashamhanda - 16110 Makoni Chitungwaiza ,betavalery@gmail.com/ accounts@mh.co.zw,0773 492 409,,23,,
RST 0884,Harare,Chitungwiza,Pizza Mash Chigovanyika ,Tendai & Tapiwa Mashamhanda - 10606 Chigovanyika St Marys Chitungwiza ,betavalery@gmail.com/ accounts@mh.co.zw,"0776 467 199,0774 168 603",,,,
RST 0885,Harare,Harare,Famous Junction Restaurant,Bridgette Mudhosi - 11 Churchill  Avenue Belgravia Harare,bridgette0804@gmail.com,0775 272 831,,,60,
RST 0886,Midlands ,Redcliff,Chicken Inn Redcliff,Simbisa Brands - Rockodox Garage Corner Redcliff Turn Off Redcliff,masimba.chifamba@simbisa.co.zw,0772 322 906,,15,40,
RST 0887,Midlands ,Gweru,Milan Restaurant,Taleb Mahomad - Stand No 6070 Cnr J Tongogara & 7th Street Gweru ,lucinahpapayah@gmail.com,0782 155 360,,34,300,
RST 0888,Midlands ,Redcliff,Pizza Inn Redcliff,Simbisa Brands - Rockodox Garage Corner Redcliff Turn Off Redcliff,masimba.chifamba@simbisa.co.zw,0772 322 906,,15,45,
RST 0889,Manicaland,Nyanga,Waterbucks Head Hwange ,PWMA – P O Box CY 140 Causeway Harare,natparks@africaonline.co.zw ,029-8-384/274,Standard,,90,36
RST 0890,Harare,Harare,OK Banket,"Ok Zimbabwe-No 39A-40 Rusape, Box 3081, Harare","vchamunorwa@okzim.co.zw,eshoniwa@okzim.co.zw",0242 757 311/9,,,,
RST 0891,Harare,Harare,ZimGrow Restaurant,"Tawanda Zimhindo - Stand 17594, Shop f07, M Floor, Angwa City",zimgro20@gmail.com,779437116,,6,,
RST 0892,Harare,Harare,Chikka Chicken & Pikka Pizza,Darren Lanca - 130 Chinhoyi Street Harare,losscontrol@spar.co.zw,0773 500 344,,35,28,
RST 0893,Harare,Harare,Garfunkels On Rolfe,G C Du Plooy - Shop 1 Rolfe Valley Shopping Centre Rolfe Valley Harare,accounts3@garfunkels.co.zw,0782 781 178,,18,40,
RST 0894,Harare,Chitungwiza ,Chicken Inn –Makoni Zuva ,Simbisa Brands  - 21470 Unit B Seke Chitungwiza ,,"0242 776461,776526, 0772 428 381,775305/6",,,,
RST 0895,Harare,Harare,Steers Sam Levy ,Simbisa Brands  - Sam Levy Village Borrowdale Harare,,0735 346 741,,,,
RST 0896,Harare,Harare,Pizza Inn Braeside,Simbisa Brands  - Stand No 18311 Chiremba Road Hillside Harare,,0735 346 741,,14,,
RST 0897,Harare,Harare,Chicken Inn Braeside,Simbisa Brands  - Stand No 18311 Chiremba Road Hillside Harare,,0735 346 741,,14,,
RST 0898,Mash West,Norton,Chicken Inn Norton Drive Through,Simbisa Brands  -369 Nharira Norton Road Norton,,0735 346 741,,14,,
RST 0899,Harare,Harare,Chicken Inn Dzivarasekwa                                     ,Simbisa Brands  - 21499 Cnr Bulawayo and Dzivarasekwa Turn Off Harare,,0735 346 741,,14,,
RST 0900,Harare,Harare,KFC Gweru,"Mr R G Gilliam - Zuva Gweru Ranch,Cnr R Mugabe Way and 10th Street Gweru",chubby@kfczimbabwe.co.zw,0242 487285/7,,,,
RST 0901,Mat North,Victoria Falls ,The Royal African Dining,Nathan S Ngwenya - 1862 Chinotimba Victoria Fall,paradisegaze1@gmail.com,0772 411 458,,,45,
RST 0902,Harare,Harare,Chicken Mash - Warren Park,Tendai Mashamhanda - 3490 Warren Park 1 Harare,accounts@mh.co.zw,0774 168 603,,23,40,
RST 0903,Harare,Harare,Chicken Mash - Southlea Park,Tendai Mashamhanda - 18226 Culverwell Road Arcadia Harare,accounts@mh.co.zw,0774 168 603,,23,40,
RST 0904,Harare,Harare,Chez Zandi,Z A Mubi - 8 Lanark Road Belgravia Harare,chezzandi@gmail.com,0778 952 992,,8,100,
RST 0905,Harare,Harare,Pizza Mash - Warren Park,Tendai Mashamhanda - 3490 Warren Park 1 Harare,accounts@mh.co.zw,0774 168 603,,23,40,
RST 0906,Harare,Harare,Chicken Slice Drive Through Braeside,"19851 of 6792, Chiremba Road, Braeside, Harare",elizabeth@slice.co.zw,0731571976,,10,36,
RST 0906,Harare,Harare,Chiken Slice Drive Thru Braeside,T Mutyebere - 19851 of 6792 Chiremba Road Braeside Harare,elizabeth@slice.co.zw,0731 571 976,,18,,
RST 0906,Harare,Harare,Chicken Slice Drive Thru - Braeside,"T Mutyabere - 19851 of 6792 ,Chiremba Road Braeside Harare",elizabeth@slice.co.zw,0731 571 976,Standard,18,36,
RST 0907,Harare,Harare,Emagumeni ,B Zamchiya - Stand 458A Shop 8A Greystone Park Township Borrowdale Harare,bongai@gmail.com,0772 522 522,Standard,18,200,
RST 0908,Harare,Harare,All The way Burgers And Shakes,K Eckard - 3 DungaravanRoad Borrowdale Harare,karl@pariahstate.com,0774 110 513,,10,,
RST 0909,Harare,Harare,Cqafe Lux Restaurant,T M Chanakira - 54 McChlery  Avenue Eastlea Harare,tinashec@tmcgroupcozim.com,"0775 693 192,08677008947",,7,20,
RST 0909,Harare,Harare,Café Lux ,T M Chanakira - 54 McChlery  Avenue Eastlea Harare,tinashec@tmcgroupcozim.com,0775 693 192,,7,20,
RST 0910,Harare,Harare,Kapoto  Restaurant,L & V Muza - 2 Chelsford Belgravia Harare,kapotorestaurantsbelgravia@gmail.com,0773 372 682,,6,,
RST 0911,Harare,Harare,Casino Marina Restaurant,Asanga Ranjan -Longchen Plaza Belvedere Harare,jkunaka01@yahoo.com,0771 514 737,,34,,
RST 0912,Harare,Harare,Beach House,R Carelse - Borrowdale Racecourse Borrowdale Harare,beachhousezw@gmail.com,0772 568 810,,17,150,
RST 0913,Harare,Harare,Chiken Hub,M Marume - Stand 17594-50 Angwa Street Angwa City Harare,maumarume@gmail.com,0772 844 695,,8,30,
RST 0914,Harare,Harare,Carne Casa Brazilian Steakhouse,K Ncube - 107 Corner G Silundika  & 11th Avenue Bulawayo,carnecasasteakhouse@gmail.com,0775 898 486,,10,,
RST 0915,Harare,Harare,Nkosikazi Kitchen,A David - Warren Hills Golf Club Along Kirkman Road Harare,amandavid@gmail.com,0773 809 909,,8,30,
RST 0916,Harare,Harare,Republic Restaurant,G G Kaulback - 170 The Chase Groombridge Harare,grahamkaulback@gmail.com,0773 488 220,,7,20,
RST 0917,Harare,Harare,Mtotwe Restaurant,G G Kaulback - 170 The Chase Groombridge Harare,grahamkaulback@gmail.com,0773 488 220,,7,10,
RST 0918,Harare,Harare,Bar Rouge,E Chimanikire - 43 - 46 Long Cheng Plaza Belvedere Harare,tafadzwa@avanti.co.zw,0772 367 026,,12,,
RST 0919,Harare,Harare,Mabelreign Country Club,W A Amadi - 44 Walbery Road Mabelreign Harare,winnieamadi78@gmail.com,0778 380 338,,5,,
RST 0920,Harare,Harare,Friends Café ,M Y Nooria - 15 Shortheath Road Chisipite Harare,mnooria2@yahoo.co.uk,0773 320 199,,8,,
RST 0921,Harare,Harare,Waikiki Restaurant,N K Azam - 92 Suffolk Road Avondale West Harare,naziaazam35@gmail.com,0772 470 338,,12,30,
RST 0922,Harare,Harare,Hotplate Grillhouse S Nunjoma ,B Muneri - 77 S Nunjoma / G Silundka Harare,bensosn@africanhotplate.co.za,0782 244 400,,18,60,
RST 0923,Harare,Harare,Hotplte Grillhouse Helensvale,B Muneri - 465 Domboshava Road Greystone Park Helensvale Harare,bensosn@africanhotplate.co.za,0782 244 400,,20,,
RST 0924,Harare,Harare,Hotplate Grillhouse Restaurant Angwa,B Muner - 19 Robson Manyka Cnr Angwa /R Mugabe Harare,bensosn@africanhotplate.co.za,0782 244 400,,10,40,
RST 0925,Mat North,Victoria Falls ,Hotplate Grillhouse Restaurant Victoria Falls ,B Muneri - 1479 Clarke Road Victoria Falls ,bensosn@africanhotplate.co.za,0782 244 400,,25,60,
RST 0926,Harare,Harare,Lugar De Pollo Sam Levy Village,B Nyaumwe - Borrowdale Village Walk Shopping Centre Borrowdale Harare,lugardepollo@gmail.com,0785 220 175,,13,16,
RST 0927,Harare,Harare,Boss Café Restaurant,M Magid - 60 Bedford Road Avondale Harare,aagaura@gmail.com,0719 339 545,,7,,
RST 0928,Harare,Harare,Maki Sushi Pvt Ltd ,S Lapage - Shop G 58 Arundel Village Quorn Avenue  Mt Pleasant Harare,acorbettbks@gmail.com,0772 438 502,,8,,
RST 0929,Harare,Harare,Café Brococcoli,P Bapiro - 1 Woodstock Avenue Arcadia Harare,doorgregory@gmail.com,0773 011 925,,6,,
RST 0930,Harare,Harare,Da Guido Restaurant,S R Oliveiro - 100 Golden Stairs Road Mt Pleasanrt Harare,sachardiviera@gmail.com,0784 945 532,,6,50,
RST 0931,Harare,Harare,PaDendere Restaurant,P Goto - 24 Carrick Creagh Borrowdale Harare,pedzi@qualitygas.co.zw,0772 511 899,,17,,
RST 0932,Harare,Harare,Pogos Kamfinsa ,D N Geranois - Shop 1 & 2 Kamfinsa Shopping Centre Greendale Harare,accounts@pogos.co.zw,0242 447858,,12,,
RST 0933,Harare,Harare,Pogos Msasa,D N Geranois - 94 Mutare Road Msasa Harare,accounts@pogos.co.zw,0242 447858,,19,,
RST 0934,Harare,Harare,Food Nest Restaurant,C Egwuoba - 214-217 Longchen Plaza Harare,bensosn@africanhotplate.co.za,0772 688 650,,14,,
RST 0935,Harare,Harare,Lacasa Washeatinn,R Ogbchi - 1 Merlwood Drive Chisipite Harare,lacasazw@gmail.com,0713 224 959,,26,,
RST 0936,Mat North,Victoria Falls ,Seventh Heaven Foods ,A B Nathan - 523 Reynard Road Victoria Falls ,khemhim@yoafrica.com,0777 286 112,,8,40,
RST 0938,Harare,Harare,Pimento Fries,M Bikoza - 10088 Pfugari Complex White Cliffe Harare,mbikoza@gmail.com,0713 930 699,,11,80,
RST 0939,Midlands ,Gweru,The Pallet Café ,Farirai N Mabodza - 2 Lobengula Avenue Gweru,café@farirainandipaevents.co.zw,054 2232 888,,6,20,
RST 0940,Midlands ,Gweru,Eat n Lick Gweru,I Musabayana - 34 Robert Mugabe Way Gweru,nyasha@enl.co.zw,0774 600 316,,28,60,
SELF CATERING ACCOMMODATION,,,,,,,,,,
SCA  0164,Mash East,Matusadonha,Matusadonha Lodges ,"Parks and Wildlife Mngt Authority, Cnr Borrowdale Rd and Sandringham Dr, P.O Box CY 140, Causeway , Harare/ P Bag 9136 Masvingo  ",natparks@africaonline.co.zw,04-707624-9,Standard,,32,15
SCA 0013,Mat North,Victoria Falls,Victoria Falls Backpackers Lodge,357 Gibson Road - P O Box 151 Victoria Falls – Victor Enslin,info@victoriafallsbackpackers.com,0213 2842209,Standard,,,
